No.,Author,Comment
0,Gạch Xanh,iên kết vùng tuyệt vời.
1,Nam sg,"iao cho Long An là đúng, các tỉnh có thể hoàn thành đúng tiến độ thúc đẩy TPHCM theo kịp. "
2,chien hoang,ong An phát triển mạnh trong tương lai gần
3,Le tung,ao lại làm đường chạy vòng quanh mà ko làm dc thẳng. Đường thẳng sẽ giảm km đường cần làm và giảm thời gian di chuyển.
4,luuvinhgioang85,"ong rằng nó sớm đi vào khởi công. Chứ kiểu này không biết đến khi nào khởi công, chứ nói gì là hoàn thành."
5,Ngọc B,"ên làm song song vành đai 3 4 cùng lúc không nên chờ xong cái này mới làm cái kia, lúc đó chậm trễ lại biến động giá cả nữa"
6,menlangvayquangbi,ấy năm trước đầu tư đất ở Long An là một quyết định đúng đắn.
7,hsd hdg,ành đài 2 chưa xong . Vành đai 3 đâu rồi ?
8,Phat Nguyen,rọng trách khá nặng cho tỉnh Long An nhưng tôi tin với sự hợp tác với các tỉnh còn lại thì dự án sẽ thành công
9,Trần Quyền," gần đấy, hy vọng nhiều vào vành đai 4 tiện lợi phát triển và tăng trưởng cho Long An."
10,Nguyễn Trường Hải,y vọng làm đúng tiến độ
11,vothuyettham,"àm những con đường mới, hợp lý, nhiều người sẽ ủng hộ, sẵn sàng trả phí để đi."
